Time [sec]	P [h Pa]	T [°C]	U [%]	Wsp [kn]	Wdir [°]	Altitude [m]	Geo Pot [m']
0         	1005.4  	23.00 	42   	3.1     	293     	0.0         	0.0         
1         	1005.3  	23.06 	42   	2.8     	293     	1.2         	1.2         
2         	1005.1  	23.11 	42   	2.5     	294     	2.4         	2.4         
3         	1005.0  	23.17 	41   	2.2     	294     	3.6         	3.6         
4         	1004.9  	23.23 	41   	1.9     	295     	4.7         	4.7         
5         	1004.7  	23.29 	41   	1.6     	296     	5.9         	5.9         
6         	1004.6  	23.34 	41   	1.3     	297     	7.1         	7.1         
7         	1004.4  	23.40 	40   	1.0     	299     	8.3         	8.3         
8         	1004.3  	23.45 	40   	0.7     	303     	9.5         	9.5         
9         	1004.2  	23.42 	40   	0.4     	315     	10.7        	10.7        
10        	1004.0  	23.39 	40   	0.2     	010     	11.9        	11.9        
11        	1003.9  	23.37 	40   	0.2     	052     	13.1        	13.0        
12        	1003.8  	23.34 	40   	0.2     	052     	14.2        	14.2        
13        	1003.6  	23.31 	40   	0.2     	052     	15.4        	15.4        
14        	1003.5  	23.28 	40   	0.2     	052     	16.6        	16.6        
15        	1003.4  	23.26 	40   	0.2     	052     	17.8        	17.8        
16        	1003.3  	23.23 	40   	0.2     	052     	19.0        	19.0        
17        	1003.1  	23.20 	40   	0.2     	052     	20.0        	20.0        
18        	1003.0  	23.18 	40   	0.2     	052     	20.8        	20.8        
19        	1002.9  	23.15 	41   	0.3     	052     	21.7        	21.6        
20        	1002.8  	23.12 	41   	0.3     	052     	22.5        	22.5        
21        	1002.7  	23.09 	41   	0.3     	052     	23.4        	23.3        
22        	1002.6  	23.07 	41   	0.3     	052     	24.2        	24.2        
23        	1002.5  	23.04 	41   	0.3     	052     	25.0        	25.0        
24        	1002.4  	23.07 	41   	0.3     	052     	25.9        	25.9        
25        	1002.3  	23.10 	41   	0.3     	052     	26.7        	26.7        
26        	1002.2  	23.13 	41   	0.3     	052     	27.6        	27.6        
27        	1002.1  	23.17 	41   	0.3     	052     	28.4        	28.4        
28        	1002.0  	23.20 	41   	0.3     	052     	29.3        	29.2        
29        	1001.9  	23.23 	41   	0.3     	052     	30.1        	30.1        
30        	1001.8  	23.27 	41   	0.4     	052     	31.0        	30.9        
31        	1001.7  	23.30 	41   	0.4     	052     	31.8        	31.8        
32        	1001.6  	23.33 	41   	0.4     	052     	32.7        	32.6        
33        	1001.5  	23.36 	41   	0.3     	052     	33.5        	33.5        
34        	1001.4  	23.40 	41   	0.3     	052     	34.3        	34.3        
35        	1001.4  	23.43 	40   	0.3     	052     	35.2        	35.2        
36        	1001.3  	23.46 	40   	0.3     	052     	36.0        	36.0        
37        	1001.2  	23.50 	40   	0.3     	052     	36.9        	36.8        
38        	1001.1  	23.53 	40   	0.3     	052     	37.7        	37.7        
39        	1001.0  	23.56 	40   	0.3     	052     	38.6        	38.5        
40        	1000.9  	23.55 	40   	0.3     	052     	39.4        	39.4        
41        	1000.9  	23.52 	40   	0.3     	052     	40.3        	40.2        
42        	1000.8  	23.49 	40   	0.3     	052     	40.2        	40.2        
43        	1000.9  	23.46 	40   	0.3     	052     	39.5        	39.5        
44        	1000.9  	23.43 	40   	0.3     	052     	38.8        	38.8        
45        	1001.0  	23.40 	40   	0.3     	052     	38.1        	38.1        
46        	1001.1  	23.37 	40   	0.3     	052     	37.4        	37.4        
47        	1001.2  	23.34 	40   	0.3     	052     	36.7        	36.7        
48        	1001.3  	23.31 	40   	0.2     	052     	36.0        	36.0        
49        	1001.3  	23.29 	40   	0.2     	052     	35.3        	35.3        
50        	1001.4  	23.26 	40   	0.2     	052     	34.6        	34.6        
51        	1001.5  	23.23 	40   	0.2     	052     	33.9        	33.9        
52        	1001.6  	23.20 	40   	0.2     	052     	33.3        	33.2        
53        	1001.7  	23.17 	40   	0.2     	052     	32.6        	32.5        
54        	1001.7  	23.14 	40   	0.2     	052     	31.9        	31.8        
55        	1001.8  	23.11 	40   	0.2     	052     	31.2        	31.1        
56        	1001.9  	23.13 	40   	0.2     	052     	30.5        	30.4        
57        	1002.0  	23.17 	40   	0.2     	052     	29.8        	29.8        
58        	1002.1  	23.21 	40   	0.2     	052     	29.1        	29.1        
59        	1002.1  	23.26 	40   	0.2     	052     	28.4        	28.4        
60        	1002.2  	23.30 	40   	0.2     	052     	27.7        	27.7        
61        	1002.3  	23.34 	40   	0.1     	052     	27.0        	27.0        
62        	1002.4  	23.39 	40   	0.1     	052     	26.3        	26.3        
63        	1002.5  	23.43 	40   	0.1     	052     	25.6        	25.6        
